"","game_id","team_winner","team_loser","team_home_result","team_away_result","team_home_elo_pre","team_away_elo_pre","team_home_elo_pre_diff","team_away_elo_pre_diff","team_home_win_prob","team_away_win_prob"
"3857","19961201BUFIND","IND","BUF","Win","Loss",910,1204,-294,294,0.149298454872936,0.850701545127064
"3858","19961201CINJAX","JAX","CIN","Win","Loss",830,1022,-192,192,0.248625164652618,0.751374835347382
"3859","19961201ARIMIN","MIN","ARI","Win","Loss",977,997,-20,20,0.471814011101492,0.528185988898508
"3860","19961201LARNO","LAR","NO","Loss","Win",757,799,-42,42,0.440977082204399,0.559022917795601
"3861","19961201TENNYJ","TEN","NYJ","Loss","Win",645,967,-322,322,0.127467999525092,0.872532000474908
"3862","19961201MIAOAK","OAK","MIA","Win","Loss",953,1024,-71,71,0.400898199307426,0.599101800692574
"3863","19961201NYGPHI","PHI","NYG","Win","Loss",1027,964,63,-63,0.588130535297899,0.411869464702101
"3864","19961201NELAC","NE","LAC","Loss","Win",1108,1129,-21,21,0.470407237708422,0.529592762291578
"3865","19961202SFATL","SF","ATL","Loss","Win",849,1203,-354,354,0.105361654818933,0.894638345181067
"3866","19961205PHIIND","IND","PHI","Win","Loss",995,1068,-73,73,0.398167190626421,0.601832809373579
"3867","19961208DALARI","DAL","ARI","Loss","Win",944,1185,-241,241,0.197089376938356,0.802910623061644
"3868","19961208LARCHI","CHI","LAR","Win","Loss",997,843,154,-154,0.70694172054703,0.29305827945297
